Class;Name;Signature;Ret Type
java.io.File;lastModified;;long
java.lang.System;currentTimeMillis;;long
java.lang.System;nanoTime;;long
java.time.Clock;millis;;long
java.time.Duration;get;TemporalUnit;long
java.time.Duration;getNano;;int
java.time.Duration;getSeconds;;long
java.time.Duration;toDays;;long
java.time.Duration;toHours;;long
java.time.Duration;toMillis;;long
java.time.Duration;toMinutes;;long
java.time.Duration;toNanos;;long
java.time.Instant;get;TemporalField;int
java.time.Instant;getEpochSecond;;long
java.time.Instant;getLong;TemporalField;long
java.time.Instant;getNano;;int
java.time.Instant;toEpochMilli;;long
java.time.Instant;until;Temporal,TemporalUnit;long
java.time.LocalDate;get;TemporalField;int
java.time.LocalDate;getDayOfMonth;;int
java.time.LocalDate;getDayOfYear;;int
java.time.LocalDate;getLong;TemporalField;long
java.time.LocalDate;getMonthValue;;int
java.time.LocalDate;getYear;;int
java.time.LocalDate;lengthOfMonth;;int
java.time.LocalDate;lengthOfYear;;int
java.time.LocalDate;toEpochDay;;long
java.time.LocalDateTime;get;TemporalField;int
java.time.LocalDateTime;getDayOfMonth;;int
java.time.LocalDateTime;getDayOfYear;;int
java.time.LocalDateTime;getHour;;int
java.time.LocalDateTime;getLong;TemporalField;long
java.time.LocalDateTime;getMinute;;int
java.time.LocalDateTime;getMonthValue;;int
java.time.LocalDateTime;getNano;;int
java.time.LocalDateTime;getSecond;;int
java.time.LocalDateTime;getYear;;int
java.time.LocalDateTime;until;Temporal,TemporalUnit;long
java.time.LocalTime;get;TemporalField;int
java.time.LocalTime;getHour;;int
java.time.LocalTime;getLong;TemporalField;long
java.time.LocalTime;getMinute;;int
java.time.LocalTime;getNano;;int
java.time.LocalTime;getSecond;;int
java.time.LocalTime;toNanoOfDay;;long
java.time.LocalTime;toSecondOfDay;;int
java.time.LocalTime;until;Temporal,TemporalUnit;long
java.time.MonthDay;get;TemporalField;int
java.time.MonthDay;getDayOfMonth;;int
java.time.MonthDay;getLong;TemporalField;long
java.time.MonthDay;getMonthValue;;int
java.time.OffsetDateTime;get;TemporalField;int
java.time.OffsetDateTime;getDayOfMonth;;int
java.time.OffsetDateTime;getDayOfYear;;int
java.time.OffsetDateTime;getHour;;int
java.time.OffsetDateTime;getLong;TemporalField;long
java.time.OffsetDateTime;getMinute;;int
java.time.OffsetDateTime;getMonthValue;;int
java.time.OffsetDateTime;getNano;;int
java.time.OffsetDateTime;getSecond;;int
java.time.OffsetDateTime;getYear;;int
java.time.OffsetDateTime;toEpochSecond;;long
java.time.OffsetDateTime;until;Temporal,TemporalUnit;long
java.time.OffsetTime;get;TemporalField;int
java.time.OffsetTime;getHour;;int
java.time.OffsetTime;getLong;TemporalField;long
java.time.OffsetTime;getMinute;;int
java.time.OffsetTime;getNano;;int
java.time.OffsetTime;getSecond;;int
java.time.OffsetTime;until;Temporal,TemporalUnit;long
java.time.Period;get;TemporalField;long
java.time.Period;getDays;;int
java.time.Period;getMonths;;int
java.time.Period;getYears;;int
java.time.Period;toTotalMonths;;long
java.time.Year;get;TemporalField;int
java.time.Year;getLong;TemporalField;long
java.time.Year;getValue;;int
java.time.Year;length;;int
java.time.Year;until;Temporal,TemporalUnit;long
java.time.YearMonth;get;TemporalField;int
java.time.YearMonth;getLong;TemporalField;long
java.time.YearMonth;getMonthValue;;int
java.time.YearMonth;getYear;;int
java.time.YearMonth;lengthOfMonth;;int
java.time.YearMonth;lengthOfYear;;int
java.time.YearMonth;until;Temporal,TemporalUnit;long
java.time.ZonedDateTime;get;TemporalField;int
java.time.ZonedDateTime;getDayOfMonth;;int
java.time.ZonedDateTime;getDayOfYear;;int
java.time.ZonedDateTime;getHour;;int
java.time.ZonedDateTime;getLong;TemporalField;long
java.time.ZonedDateTime;getMinute;;int
java.time.ZonedDateTime;getMonthValue;;int
java.time.ZonedDateTime;getNano;;int
java.time.ZonedDateTime;getSecond;;int
java.time.ZonedDateTime;getYear;;int
java.time.ZonedDateTime;until;Temporal,TemporalUnit;long
java.net.URLConnection;getConnectTimeout;;int
java.net.URLConnection;getExpiration;;long
java.net.URLConnection;getLastModified;;long
java.net.URLConnection;getReadTimeout;;int
java.util.concurrent.TimeUnit;convert;long,TimeUnit;long
java.util.concurrent.TimeUnit;toNanos;long;long
java.util.concurrent.TimeUnit;toMicros;long;long
java.util.concurrent.TimeUnit;toMillis;long;long
java.util.concurrent.TimeUnit;toSeconds;long;long
java.util.concurrent.TimeUnit;toMinutes;long;long
java.util.concurrent.TimeUnit;toHours;long;long
java.util.concurrent.TimeUnit;toDays;long;long
java.util.concurrent.TimeUnit;excessNanos;long;long
org.gudy.azureus2.core3.util.SystemTime;getCurrentTime;;long
org.gudy.azureus2.core3.util.SystemTime;getMonotonousTime;;long
org.gudy.azureus2.core3.util.SystemTime;getSteppedMonotonousTime;;long
org.gudy.azureus2.core3.util.SystemTime;getOffsetTime;long;long
org.gudy.azureus2.core3.util.SystemTime;getHighPrecisionCounter;;long
org.apache.hadoop.util.Time;now;;long
org.apache.hadoop.hbase.util.EnvironmentEdge;currentTime;;long
org.apache.hadoop.hbase.util.EnvironmentEdgeManager;currentTime;;long
