Class;Name;Signature;Ret Type
java.lang.Object;wait;;void
java.util.concurrent.Future;get;;void
java.util.concurrent.FutureTask;get;;void
java.lang.Thread;join;;void
java.net.Socket;connect;SocketAddress;void
java.net.SSLSocket;connect;SocketAddress;void
java.lang.Process;waitFor;;0
java.util.concurrent.CountDownLatch;await;;void
java.util.concurrent.locks.ReentrantLock;lock;;void
java.util.concurrent.locks.ReadLock;lock;;void
java.util.concurrent.locks.ReentrantReadWriteLock;lock;;void
java.util.concurrent.locks.WriteLock;lock;;void
java.util.concurrent.CountDownLatch;await;;void
